iter	Passed	Remaining
0	72	72537
1	175	87772
2	247	82182
3	345	86119
4	423	84334
5	478	79221
6	588	83439
7	714	88618
8	832	91681
9	938	92863
10	1018	91609
11	1125	92704
12	1239	94072
13	1334	93977
14	1448	95106
15	1546	95086
16	1641	94936
17	1754	95729
18	1833	94643
19	1929	94543
20	2003	93408
21	2068	91958
22	2177	92493
23	2293	93281
24	2381	92885
25	2499	93649
26	2552	91990
27	2649	91971
28	2729	91395
29	2839	91824
30	2962	92606
31	3108	94042
32	3202	93841
33	3345	95041
34	3478	95910
35	3526	94441
36	3608	93913
37	3721	94204
38	3832	94433
39	3891	93407
40	4001	93603
41	4079	93062
42	4206	93614
43	4260	92560
44	4371	92783
45	4467	92656
46	4547	92212
47	4670	92631
48	4767	92536
49	4891	92936
50	4954	92183
51	5070	92434
52	5155	92124
53	5244	91877
54	5350	91928
55	5432	91574
56	5501	91009
57	5590	90790
58	5683	90640
59	5792	90741
60	5910	90979
61	6052	91564
62	6152	91501
63	6197	90638
64	6319	90898
65	6457	91384
66	6561	91372
67	6681	91581
68	6780	91481
69	6935	92138
70	7009	91717
71	7142	92064
72	7224	91737
73	7360	92100
74	7484	92303
75	7578	92137
76	7702	92324
77	7772	91869
78	7851	91539
79	7971	91674
80	8043	91259
81	8114	90844
82	8289	91586
83	8471	92381
84	8552	92061
85	8657	92007
86	8795	92301
87	8934	92596
88	9079	92938
89	9232	93355
90	9366	93562
91	9506	93821
92	9642	94044
93	9780	94270
94	9923	94532
95	10153	95613
96	10266	95573
97	10408	95797
98	10558	96090
99	10681	96129
100	10818	96296
101	10959	96489
102	11111	96771
103	11261	97023
104	11411	97268
105	11568	97565
106	11705	97689
107	11841	97798
108	12051	98509
109	12307	99577
110	12445	99673
111	12581	99756
112	12714	99800
113	12845	99837
114	12979	99887
115	13135	100104
116	13337	100659
117	13587	101557
118	13725	101614
119	13844	101527
120	13977	101538
121	14122	101634
122	14356	102360
123	14493	102387
124	14631	102420
125	14765	102424
126	14894	102388
127	15017	102309
128	15148	102283
129	15274	102222
130	15409	102219
131	15537	102168
132	15687	102265
133	15919	102880
134	16055	102874
135	16186	102829
136	16306	102717
137	16436	102667
138	16551	102525
139	16692	102538
140	16881	102847
141	17020	102841
142	17127	102647
143	17246	102521
144	17375	102457
145	17505	102394
146	17628	102292
147	17743	102142
148	17866	102044
149	17988	101932
150	18123	101898
151	18255	101845
152	18379	101749
153	18509	101680
154	18640	101623
155	18761	101502
156	18886	101407
157	19004	101278
158	19148	101281
159	19263	101135
160	19385	101019
161	19487	100807
162	19609	100696
163	19733	100593
164	19853	100470
165	19978	100376
166	20111	100316
167	20235	100216
168	20359	100109
169	20476	99972
170	20604	99889
171	20752	99902
172	20860	99718
173	20976	99576
174	21097	99458
175	21213	99316
176	21343	99238
177	21554	99537
178	21688	99477
179	21829	99446
180	21964	99384
181	22084	99261
182	22240	99294
183	22371	99213
184	22499	99118
185	22626	99021
186	22740	98866
187	22865	98759
188	22992	98662
189	23109	98518
190	23242	98444
191	23372	98357
192	23486	98207
193	23608	98083
194	23740	98007
195	23882	97966
196	24000	97830
197	24118	97692
198	24250	97611
199	24469	97878
200	24655	98007
201	24810	98011
202	24959	97993
203	25103	97951
204	25256	97944
205	25379	97822
206	25510	97726
207	25680	97781
208	25851	97838
209	26016	97870
210	26178	97891
211	26336	97890
212	26477	97830
213	26626	97796
214	26807	97878
215	26965	97875
216	27112	97829
217	27281	97864
218	27452	97899
219	27620	97926
220	27764	97867
221	27957	97975
222	28151	98089
223	28310	98077
224	28492	98140
225	28639	98084
226	28797	98063
227	28982	98133
228	29129	98072
229	29336	98213
230	29500	98206
231	29670	98220
232	29826	98182
233	29990	98175
234	30162	98187
235	30289	98054
236	30413	97913
237	30534	97762
238	30662	97632
239	30822	97605
240	30952	97480
241	31069	97316
242	31194	97176
243	31313	97021
244	31439	96885
245	31568	96759
246	31710	96672
247	31834	96531
248	31973	96433
249	32111	96333
250	32238	96202
251	32376	96101
252	32534	96059
253	32702	96046
